Year,China,China,China,China,China,China,United States,United States,United States,United States,United States,United States,Iran,Iran,Iran,Iran,Iran,Iran,India,India,India,India,India,India,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,Pakistan,Pakistan,Pakistan,Pakistan,Pakistan,Pakistan,Philippines,Philippines,Philippines,Philippines,Philippines,Philippines
Series Name,Population_total,GDP_per_capita,UR,Urban_population,Birth_rate_crude,Gini_index,Population_total,GDP_per_capita,UR,Urban_population,Birth_rate_crude,Gini_index,Population_total,GDP_per_capita,UR,Urban_population,Birth_rate_crude,Gini_index,Population_total,GDP_per_capita,UR,Urban_population,Birth_rate_crude,Gini_index,Population_total,GDP_per_capita,UR,Urban_population,Birth_rate_crude,Gini_index,Population_total,GDP_per_capita,UR,Urban_population,Birth_rate_crude,Gini_index,Population_total,GDP_per_capita,UR,Urban_population,Birth_rate_crude,Gini_index,Population_total,GDP_per_capita,UR,Urban_population,Birth_rate_crude,Gini_index,Population_total,GDP_per_capita,UR,Urban_population,Birth_rate_crude,Gini_index
1960,667070000,89.52021792,..,16.203,20.86,..,180671000,3007.123445,5.5,69.996,23.7,..,21388806,196.3239269,..,33.735,49.046,..,445954579,83.03510176,..,17.924,42.506,..,3298021,203.8797509,..,30.191,52.229,..,36268055,359.5450593,..,50.753,46.953,..,52400000,1397.594863,..,78.444,17.5,..,45954226,81.5869473,..,22.104,45.749,..,28486871,263.8370599,..,30.297,46.49,..
1961,660330000,75.80556391,..,16.708,18.02,..,183691000,3066.562869,6.7,70.377,23.3,..,21983622,201.3748731,..,34.389,47.959,..,456351876,85.96970412,..,18.032,42.294,..,3408415,191.9074408,..,31.112,51.39,..,37439317,378.2120274,..,51.59,46.775,..,52800000,1472.385777,..,78.374,17.9,..,47060915,87.51737247,..,22.501,45.76,..,29342411,278.4772693,..,30.555,46.051,..
1962,665770000,70.90915535,..,17.226,37.01,..,186538000,3243.843078,5.5,70.757,22.4,..,22605050,207.6335337,..,35.051,47.354,..,467024193,90.27686886,..,18.218,42.101,..,3521164,234.0419248,..,32.074,50.461,..,38683283,392.934591,..,52.428,46.728,..,53250000,1525.775918,..,78.237,18.3,..,48161841,89.49333554,..,22.751,45.647,..,30185979,164.1355953,..,30.816,45.513,..
1963,682335000,74.31337482,..,17.757,43.37,..,189242000,3374.515171,5.7,71.134,21.7,..,23259094,211.9011176,..,35.718,46.611,..,477933619,101.3151649,..,18.405,41.907,..,3635798,258.7602227,..,33.052,49.47,..,39982118,424.1896336,..,53.265,46.625,..,53650000,1613.456953,..,78.099,18.5,..,49325050,93.88388625,..,23.002,45.503,..,31043711,177.3313452,..,31.077,44.929,..
1964,698355000,85.4982461,..,18.299,39.14,..,191889000,3573.941185,5.2,71.508,21.1,..,23948624,224.6411168,..,36.391,45.916,..,489059309,115.4876083,..,18.595,41.721,..,3752313,273.32472,..,34.046,48.465,..,41333878,485.8000495,..,54.1,46.509,..,54000000,1748.288193,..,77.96,18.8,..,50552592,102.9612072,..,23.256,45.298,..,31916622,186.5409114,..,31.34,44.313,..
1965,715185000,98.48642175,..,18.086,37.88,..,194303000,3827.52711,4.5,71.879,19.4,..,24667026,251.2390396,..,37.068,45.481,..,500114346,119.0824759,..,18.785,41.346,..,3868712,229.5596054,..,35.052,47.437,..,42737991,511.0207445,..,54.931,46.198,..,54348050,1873.567855,..,77.821,18.3,..,51841626,114.3720186,..,23.511,45.091,..,32805538,198.6661274,..,31.604,43.68,..
1966,735400000,104.3241891,..,17.915,35.05,..,196560000,4146.316646,3.8,72.247,18.4,..,25398700,267.3341023,..,37.752,45.123,..,510992617,89.75758261,..,18.977,40.918,..,3987090,246.7714549,..,36.073,46.69,..,44180437,550.4698828,..,55.761,45.834,..,54648500,1986.747244,..,77.682,17.9,..,53199414,123.3304709,..,23.769,44.831,..,33704749,213.2939154,..,31.869,42.913,..
1967,754550000,96.58918279,..,17.785,33.96,..,198712000,4336.426587,3.8,72.612,17.8,..,26133341,289.1089847,..,38.557,44.939,..,521987069,96.04632976,..,19.171,40.592,..,4108916,251.8425784,..,37.106,45.407,..,45656963,581.72945,..,56.587,45.381,..,54943600,2058.781771,..,77.541,17.5,..,54629793,136.6380925,..,24.028,44.579,..,34616857,223.1535327,..,32.135,42.121,..
1968,774510000,91.47238766,..,17.656,35.59,..,200706000,4695.92339,3.6,72.974,17.6,..,26875302,320.8586438,..,39.437,44.506,..,533431909,99.51683604,..,19.366,40.207,..,4230877,255.0535031,..,38.153,43.983,..,47170337,622.4250628,..,57.411,44.996,..,55211700,1951.758666,..,77.4,17.2,26.8,56124743,143.2879463,..,24.289,44.201,..,35544973,242.868359,..,32.403,41.396,..
