Year,Region and country of birth,Total Permanent Residents,Percentage,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2005,Total,1122373,100.0,4200,1525,18988,2698,232023,11977,15335,2992,2457,122918,31535,6480,2768,52419,6915,4536,4514,5267,3777,1908,22870,34236,23597,15456,1831,8744,589,2997,9823,3298,56180,3513,136828,16715,864,16897,4702,9623,28908,3852,5029,881,8962,95958,5082,1042,27100,26482,847,7909,321
2005,"China, People's Republic",69967,6.23,328,92,543,202,17668,765,894,279,113,1891,1376,625,126,2571,541,249,278,393,285,124,1600,3000,1293,675,147,530,41,141,518,221,2539,176,14505,1112,43,1271,257,823,2359,209,315,51,637,4139,217,50,1327,1508,101,593,28
2005,Dominican Republic,27504,2.45,5,42,22,0,82,6,319,34,29,2064,114,0,8,95,21,8,9,12,41,4,159,1946,91,12,10,11,0,6,29,40,3688,0,14226,77,0,74,7,6,894,639,14,0,22,119,11,0,90,18,6,39,0
2005,India,84681,7.54,431,15,739,215,14724,516,1571,439,60,3714,3671,28,75,5978,621,315,460,511,318,108,1785,3100,3595,830,224,786,14,168,253,459,9624,150,6693,1774,49,1984,373,405,3362,165,529,23,900,7139,147,74,2776,1747,133,876,0
2005,Iran,13887,1.24,48,4,285,9,7059,131,88,20,16,343,387,10,48,311,22,17,64,62,52,41,534,150,127,75,16,121,0,32,112,28,182,17,612,124,9,108,97,104,131,9,40,0,150,1002,135,4,562,318,18,48,0
2005,Mexico,161445,14.38,569,96,8373,870,63092,2891,316,357,37,4236,3377,45,992,9838,941,647,955,288,214,23,624,268,1189,696,256,535,28,538,2424,53,1072,1828,1972,1901,10,700,1238,1632,1222,73,448,30,1093,38040,922,0,870,2330,30,1054,75
2005,Pakistan,14926,1.33,84,0,131,17,1871,63,246,58,19,622,626,3,7,1073,101,50,79,69,98,14,455,225,400,112,30,130,0,17,55,36,978,15,2681,192,17,158,87,29,398,35,68,5,99,2262,38,5,874,151,26,107,4
2005,Philippines,60748,5.41,178,435,636,132,23993,247,367,114,98,2766,694,3447,76,2989,424,146,137,228,147,107,1180,418,575,399,154,307,65,52,1725,76,3354,81,3476,569,43,611,204,288,844,64,257,57,521,3353,128,16,1420,1670,39,234,23
2005,United Kingdom,19800,1.76,166,19,359,80,2593,347,534,64,51,2396,846,64,41,738,201,71,93,87,95,73,320,767,699,218,58,148,36,33,102,105,736,68,1755,603,9,421,96,202,723,54,223,7,219,1840,123,43,471,494,36,241,9
2006,Total,1266264,100.0,4278,1554,21530,2926,264677,12714,18700,2265,3775,155996,32202,7501,2377,52459,8125,4086,4280,5506,2693,1719,30204,35560,20911,18254,1480,6857,505,3795,14714,2990,65934,3805,180165,18989,649,16592,4591,9192,25958,4778,5292,1013,10042,89037,5749,895,38488,23805,764,8341,376
