Country,State,MAE,MAPE,pred2023,data2021,pred2021
China,Alabama,16.72195641,0.114533948,121,[146],129
China,Alaska,3.489437932,0.174471897,11,[20],23
China,Arizona,42.66425463,0.097629873,555,[437],394
China,Arkansas,39.16198411,0.529216001,120,[74],113
China,California,1592.764675,0.089961292,21622,[17705],16112
China,Colorado,258.3576976,0.647513027,3912,[399],657
China,Connecticut,24.9346178,0.067757114,288,[368],392
China,Delaware,52.88372311,0.350223332,2641,[151],203
China,District of Columbia,46.88003253,0.808276423,6,[58],11
China,Florida,827.1792739,0.797665645,3160,[1037],1864
China,Georgia,224.5244671,0.305891645,318,[734],509
China,Hawaii,337.3371096,0.942282429,1509,[358],695
China,Idaho,38.56699081,0.378107753,59,[102],63
China,Illinois,79.919054,0.053999361,2170,[1480],1559
China,Indiana,62.15146332,0.182798422,423,[340],402
China,Iowa,65.29096085,0.426738306,162,[153],218
China,Kansas,88.46017539,0.713388511,161,[124],212
China,Kentucky,15.74181371,0.12593451,88,[125],140
China,Louisiana,70.46659434,0.572899141,207,[123],193
China,Maine,9.110128835,0.253059134,4,[36],26
China,Maryland,174.3540056,0.206825629,1113,[843],1017
China,Massachusetts,274.4406056,0.133288298,1828,[2059],1784
China,Michigan,32.86412628,0.044231664,1627,[743],775
China,Minnesota,102.1274278,0.29861821,242,[342],444
China,Mississippi,40.10718686,0.891270819,81,[45],85
China,Missouri,150.9252502,0.596542491,423,[253],403
China,Montana,4.14558083,0.159445417,27,[26],30
China,Nebraska,26.35922874,0.310108573,111,[85],111
China,Nevada,74.58258461,0.148275516,412,[503],428
China,New Hampshire,35.0440097,0.467253463,6,[75],39
China,New Jersey,412.7455848,0.217807696,1515,[1895],1482
China,New Mexico,16.47098144,0.193776252,159,[85],101
China,New York,1800.445453,0.230471768,11122,[7812],9612
China,North Carolina,40.66978159,0.073677141,634,[552],592
China,North Dakota,8.006972684,0.363953304,1,[22],13
China,Ohio,115.6772538,0.15301224,674,[756],640
China,Oklahoma,45.69096939,0.312951845,206,[146],191
China,Oregon,77.10199832,0.16474786,661,[468],545
China,Pennsylvania,439.4128596,0.396940253,509,[1107],667
China,Rhode Island,18.4760628,0.260226237,20,[71],52
China,South Carolina,38.96134985,0.214073351,146,[182],143
China,South Dakota,34.53868465,1.56E+17,31,[0],34
China,Tennessee,33.48371739,0.127800448,284,[262],295
China,Texas,407.3384746,0.152048703,1110,[2679],2271
China,Utah,100.7863657,0.384680785,207,[262],161
China,Vermont,18.89364051,0.994402132,0,[19],0
China,Virginia,144.2588437,0.172972235,1032,[834],978
China,Washington,194.8797756,0.061052561,204166,[3192],2997
China,West Virginia,36.66297636,2.291436023,33,[16],52
China,Wisconsin,28.12205482,0.089846821,1060,[313],284
China,Wyoming,52.89291355,3.526194236,71,[15],67
India,Alabama,243.6038863,0.704057475,66113,[346],589
India,Alaska,0.774443924,0.064536994,11,[12],11
India,Arizona,1077.620498,0.700663523,570,[1538],460
India,Arkansas,244.9521067,0.651468369,100,[376],131
India,California,6937.95804,0.40106122,10270,[17299],10361
India,Colorado,596.5694659,0.63804221,308,[935],338
India,Connecticut,951.8371941,0.639245933,118,[1489],537
India,Delaware,213.3465344,0.484878487,101,[440],226
India,District of Columbia,18.05622685,0.214955082,20,[84],65
India,Florida,1099.263472,0.38248555,1352,[2874],1774
India,Georgia,665.1597118,0.177281373,176235,[3752],3086
India,Hawaii,12.74069056,0.439334157,5,[29],16
India,Idaho,97.37666006,0.839453966,21,[116],18
India,Illinois,677.5501274,0.152980385,359429,[4429],3751
India,Indiana,232.1487191,0.241318835,977,[962],729
India,Iowa,338.3558835,0.730790245,40,[463],124
India,Kansas,208.6657861,0.457600408,209,[456],247
India,Kentucky,161.9641794,0.318200745,341,[509],347
India,Louisiana,77.85005345,0.403368153,41,[193],115
India,Maine,38.16483859,0.596325603,14,[64],25
India,Maryland,1139.58476,0.578175931,272,[1971],831
India,Massachusetts,1909.731956,0.606842058,1080,[3147],1237
India,Michigan,622.8757622,0.269993828,6113,[2307],1684
India,Minnesota,978.9990587,0.622377024,297,[1573],594
India,Mississippi,70.31114456,0.478307106,1046,[147],217
India,Missouri,528.3638779,0.609416237,291,[867],338
India,Montana,0.809222391,0.101152799,7,[8],8
India,Nebraska,210.8483715,0.682357189,74,[309],98
India,Nevada,70.40168133,0.295805384,110,[238],167
India,New Hampshire,121.7819941,0.447727919,69,[272],150
India,New Jersey,4194.399026,0.413444951,5265,[10145],5950
India,New Mexico,16.65591627,0.160153041,118,[104],87
India,New York,412.861614,0.112527014,1903,[3669],3256
India,North Carolina,1768.856538,0.567486859,666,[3117],1348
India,North Dakota,33.29233662,0.52019276,33,[64],30
India,Ohio,1109.964598,0.475359571,1028,[2335],1225
India,Oklahoma,15.63562378,0.063302121,140,[247],231
India,Oregon,286.5926579,0.39205562,486,[731],444
India,Pennsylvania,419.7537416,0.131832205,141919,[3184],2764
India,Rhode Island,91.28700916,0.570543807,36,[160],68
India,South Carolina,89.80933487,0.152219212,666,[590],500
India,South Dakota,35.9138427,0.677619674,17,[53],17
India,Tennessee,507.4546306,0.464276881,488,[1093],585
India,Texas,4545.946171,0.408514214,1472276,[11128],6582
India,Utah,186.3360492,0.517600137,15983,[360],173
India,Vermont,14.57196899,0.470063516,42,[31],16
India,Virginia,2395.389547,0.735458872,107,[3257],861
India,Washington,3273.57679,0.65550196,1963,[4994],1720
India,West Virginia,0.962785961,0.016318406,51,[59],58
India,Wisconsin,421.1510386,0.479670887,390,[878],456
India,Wyoming,1.297857998,0.185408285,2,[7],5
Dominican Republic,Alabama,25.12786694,0.761450513,410,[33],58
Dominican Republic,Alaska,64.72906002,2.942230001,103,[22],86
Dominican Republic,Arizona,2.146094489,0.029806868,79,[72],69
Dominican Republic,Arkansas,0.79868928,0.072608116,5,[11],10
Dominican Republic,California,199.6600821,1.692034594,1346,[118],317
Dominican Republic,Colorado,10.30219474,0.303005728,301,[34],44
Dominican Republic,Connecticut,310.6212856,0.631344076,436,[492],802
Dominican Republic,Delaware,24.91644933,0.479162487,216,[52],76
Dominican Republic,District of Columbia,16.97244665,0.458714774,40,[37],53
Dominican Republic,Florida,2185.215216,0.860659794,4905,[2539],4724
Dominican Republic,Georgia,546.1700451,2.007978107,126220,[272],818
Dominican Republic,Hawaii,1.571709014,7.07835E+15,2,[0],1
Dominican Republic,Idaho,13.28933368,3.322333419,16,[4],17
Dominican Republic,Illinois,56.45647235,0.548121091,131,[103],159
Dominican Republic,Indiana,26.14486581,0.396134331,131,[66],92
Dominican Republic,Iowa,2.459051775,0.094578914,13,[26],23
Dominican Republic,Kansas,11.79842048,1.179842048,3,[10],21
Dominican Republic,Kentucky,23.15500908,1.362059358,63,[17],40
