YEAR,STATE,State Name,FERTILITY RATE,Unemployeement Rate,per capita personal Income
2005,AK,alaska,73.9,0.069294478,39075
2005,AL,alabama,63.6,0.044473752,29949
2005,AR,arkansas,69.5,0.052548307,28227
2005,AZ,arizona,80.6,0.046541853,32327
2005,CA,california,70.5,0.053783416,38932
2005,CO,colorado,69.6,0.050656343,37797
2005,CT,connecticut,58.8,0.048046431,49738
2005,DE,delaware,65.3,0.044886328,39370
2005,FL,florida,64.3,0.028538024,35999
2005,GA,georgia,71.4,0.056884211,33445
2005,HI,hawaii,69.2,0.028201328,36375
2005,IA,iowa,66.9,0.042792516,32621
2005,ID,idaho,78.9,0.039957707,29392
2005,IL,illinois,67,0.057093609,37975
2005,IN,indiana,67,0.053833048,31566
2005,KS,kansas,71.3,0.050672414,32545
2005,KY,kentucky,65,0.058559316,29241
2005,LA,louisiana,62,0.071168034,30139
2005,MA,massachusetts,55.9,0.047936309,44371
2005,MD,maryland,62,0.044770077,43515
2005,ME,maine,54.3,0.048979519,32925
2005,MI,michigan,61.9,0.067832294,32946
2005,MN,minnesota,66.3,0.04113102,38065
2005,MO,missouri,65.9,0.054098271,32467
2005,MS,mississippi,68.7,0.075857666,26835
2005,MT,montana,64,0.040610173,30074
2005,NC,north carolina,66.6,0.056011149,32345
2005,ND,north carolina,64.8,0.056011149,32345
2005,NE,nebraska,73.1,0.037634626,34666
2005,NH,new hampshire,54.1,0.036315446,40619
2005,NJ,new jersey,63.7,0.044288048,44467
2005,NM,new mexico,73,0.051955152,28858
2005,NV,nevada,73.9,0.041356398,38109
2005,NY,new york,59.9,0.049578133,40884
2005,OH,ohio,63.5,0.05919215,32607
2005,OK,oklahoma,71.7,0.043304729,31856
2005,OR,oregon,62.9,0.061783239,32296
2005,PA,pennsylvania,58.5,0.049924157,36410
2005,RI,rhode island,55.6,0.051194517,36984
2005,SC,south carolina,64.3,0.072952606,29285
2005,SD,south dakota,74.7,0.035443777,33788
2005,TN,tennessee,65.2,0.055205558,31548
2005,TX,texas,77.4,0.054625619,33276
2005,UT,utah,92.8,0.040440179,28927
2005,VA,virginia,64,0.038370742,40167
