Year,Region and country of birth,Total Permanent Residents,Percentage,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2005,Total,1122373,100.0,4200,1525,18988,2698,232023,11977,15335,2992,2457,122918,31535,6480,2768,52419,6915,4536,4514,5267,3777,1908,22870,34236,23597,15456,1831,8744,589,2997,9823,3298,56180,3513,136828,16715,864,16897,4702,9623,28908,3852,5029,881,8962,95958,5082,1042,27100,26482,847,7909,321
2005,Afghanistan,4749,0.42,5,0,244,0,1331,64,50,35,12,131,141,0,74,121,61,24,26,30,51,9,41,98,115,13,0,187,0,50,35,30,111,24,409,23,7,50,4,40,67,5,0,20,64,273,90,3,456,88,5,29,0
2005,Albania,5947,0.53,0,0,35,5,94,9,387,12,14,455,21,0,7,371,11,0,7,6,0,7,60,713,934,12,0,117,0,6,22,20,357,0,1236,27,0,179,3,12,466,4,20,0,17,97,3,14,80,26,0,73,0
2005,Algeria,1115,0.1,4,0,11,0,180,18,7,3,10,68,14,0,0,61,8,0,0,0,13,0,20,113,24,6,0,5,0,0,0,10,64,0,174,11,0,47,3,3,75,0,0,0,3,59,0,0,54,21,0,10,0
2005,American Samoa,15,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,Angola,188,0.02,0,0,14,0,7,0,7,0,0,10,5,0,0,0,0,0,0,0,3,0,9,57,3,0,0,0,0,10,0,0,5,0,16,5,0,0,0,0,5,7,0,0,0,17,0,0,0,0,0,0,0
2005,Anguilla,35,0.0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,Antigua-Barbuda,440,0.04,0,0,0,0,0,0,9,0,0,49,20,0,0,0,4,0,0,0,0,0,5,9,0,6,0,0,0,0,0,0,35,0,192,7,0,4,0,0,20,0,0,0,4,7,0,0,6,0,0,0,0
2005,Argentina,7081,0.63,6,3,50,15,868,72,119,7,17,3010,110,27,0,161,29,28,16,18,18,0,102,147,70,46,11,14,5,14,36,9,257,27,559,75,0,54,16,17,121,8,44,10,32,348,91,5,144,61,11,34,0
2005,Armenia,2591,0.23,0,0,13,0,1969,20,7,3,3,38,0,0,0,9,4,0,0,6,0,0,17,80,11,0,0,0,0,0,21,0,52,0,128,12,0,24,0,5,31,9,4,0,3,26,8,5,28,37,0,3,0
2005,Aruba,42,0.0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0
2005,Australia,3193,0.28,16,14,57,5,557,84,55,10,22,166,94,40,15,158,34,27,19,9,24,14,50,95,83,60,3,25,7,5,45,11,111,18,378,59,6,59,21,45,106,13,28,5,24,213,39,11,71,128,5,35,0
2005,Austria,532,0.05,6,0,9,0,98,9,17,0,0,54,12,4,4,26,8,0,0,7,0,0,0,19,17,5,3,0,0,0,3,6,14,3,65,14,0,7,4,0,20,0,3,0,0,27,5,3,13,20,0,9,0
2005,Azerbaijan,1523,0.14,0,0,26,0,376,27,7,0,0,38,16,0,10,43,0,3,4,11,4,0,26,53,27,4,0,10,3,0,10,5,19,0,481,20,0,30,0,5,34,0,0,0,6,34,20,13,22,106,0,8,0
2005,Bahamas,698,0.06,5,0,3,0,14,0,8,0,0,384,76,0,0,13,0,0,0,6,8,0,10,10,11,6,7,0,0,0,0,0,9,0,23,11,0,8,4,3,14,0,6,0,12,16,0,0,9,0,0,0,0
2005,Bahrain,140,0.01,3,0,0,0,13,0,0,0,0,10,8,0,0,12,0,0,0,0,0,0,5,7,5,0,0,0,0,0,0,0,10,0,13,0,0,3,3,0,4,0,0,0,0,16,0,0,6,3,0,0,0
2005,Bangladesh,11487,1.02,27,0,84,14,781,33,159,36,19,532,386,21,5,168,30,13,39,24,23,6,265,155,574,97,24,38,4,13,36,14,742,0,5311,79,3,92,54,9,366,6,11,4,43,657,7,0,385,50,9,25,0
2005,Barbados,846,0.08,0,0,0,0,18,0,18,0,0,78,22,0,0,5,0,0,0,0,0,0,24,33,4,0,0,0,0,0,0,0,48,0,467,7,0,9,0,0,39,0,3,0,0,23,0,0,19,0,0,0,0
2005,Belarus,3503,0.31,3,0,8,0,550,59,62,7,7,124,48,0,4,198,14,5,9,10,5,6,57,165,44,158,0,33,21,19,10,8,134,5,678,35,0,95,16,66,276,12,30,6,14,74,5,0,51,324,0,35,0
2005,Belgium,859,0.08,9,0,15,0,99,11,21,0,12,74,43,0,0,25,10,0,0,6,7,4,18,32,34,9,4,12,0,0,4,4,45,3,99,31,0,25,0,5,35,0,11,0,5,73,4,0,20,26,0,5,3
2005,Belize,876,0.08,0,0,6,0,316,5,0,0,0,93,7,0,3,132,3,0,0,3,6,0,7,3,4,3,0,5,0,0,10,0,10,0,120,7,0,4,4,3,12,0,9,0,6,59,0,0,11,4,0,0,4
2005,Benin,193,0.02,0,0,0,0,11,5,0,0,0,8,7,0,0,18,12,0,0,0,0,0,18,5,5,7,0,0,0,4,0,3,4,0,25,9,0,9,0,0,12,0,0,0,0,6,0,0,11,0,0,0,0
2005,Bermuda,116,0.01,0,0,0,0,7,0,0,0,0,16,17,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,5,0,12,5,0,3,0,0,6,0,0,0,8,5,0,0,8,0,0,0,0
2005,Bhutan,30,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,Bolivia,2197,0.2,0,0,12,3,203,15,12,0,16,300,20,0,0,27,7,0,7,10,6,0,146,40,11,11,0,7,0,0,16,8,73,4,163,26,0,19,6,22,36,49,23,0,5,108,16,0,734,7,0,9,0
2005,Bosnia-Herzegovina,14074,1.25,18,13,512,0,396,176,570,0,5,1088,667,0,353,881,182,685,26,567,44,39,136,146,562,239,0,1688,0,112,221,277,138,4,925,192,165,412,3,139,550,4,9,63,153,413,279,133,318,291,0,273,0
2005,Botswana,54,0.0,0,0,0,0,6,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
2005,Brazil,16664,1.48,73,7,108,24,1362,107,743,22,18,4280,516,50,15,247,70,29,33,47,39,27,251,3588,289,62,19,51,10,27,72,207,1028,17,1016,128,0,140,31,48,247,105,75,3,76,704,184,18,189,156,6,74,0
