State and area,Year,Unemployeement,gdp per capita,Birth Rate
Alabama,2011,0.101,84712.25815,1.84
Alaska,2011,0.08,152118.0284,2.28
Arizona,2011,0.098,86862.74491,2
Arkansas,2011,0.08,79574.17412,2
California,2011,0.123,112385.614,1.9
Colorado,2011,0.091,100020.3574,1.85
Connecticut,2011,0.094,124429.2919,1.71
Delaware,2011,0.081,142577.4815,1.9
District of Columbia,2011,0.1,318735.012,1.64
Florida,2011,0.106,83446.23665,1.8
Georgia,2011,0.105,93731.88909,1.93
Hawaii,2011,0.068,106937.2544,2.11
Idaho,2011,0.085,76508.32278,2.15
Illinois,2011,0.096,108378.8249,1.84
Indiana,2011,0.091,94396.72669,1.95
Iowa,2011,0.059,90903.68045,1.97
Kansas,2011,0.068,93036.37286,2.09
Kentucky,2011,0.098,84986.63148,1.94
Louisiana,2011,0.078,112636.484,1.91
Maine,2011,0.081,76940.24182,1.67
Maryland,2011,0.075,107442.6059,1.85
Massachusetts,2011,0.076,124728.1137,1.67
Michigan,2011,0.105,88839.47109,1.84
Minnesota,2011,0.069,99747.96749,1.95
Mississippi,2011,0.099,73152.12831,1.94
Missouri,2011,0.093,88271.17436,1.92
Montana,2011,0.07,83798.15937,1.96
Nebraska,2011,0.046,102803.699,2.11
Nevada,2011,0.137,96258.80852,1.91
New Hampshire,2011,0.056,91730.6862,1.67
New Jersey,2011,0.095,111495.671,1.88
New Mexico,2011,0.074,94708.8494,2
New York,2011,0.084,133846.6331,1.79
North Carolina,2011,0.104,95523.69675,1.86
North Dakota,2011,0.035,110252.1639,2.08
Ohio,2011,0.093,93049.68075,1.88
Oklahoma,2011,0.059,94397.67898,2.04
Oregon,2011,0.101,86923.10808,1.76
Pennsylvania,2011,0.078,100052.6714,1.8
Rhode Island,2011,0.112,90448.02814,1.6
South Carolina,2011,0.108,80702.99427,1.84
South Dakota,2011,0.05,96577.67807,2.25
Tennessee,2011,0.096,88827.2359,1.87
Texas,2011,0.082,109233.2844,2.07
Utah,2011,0.078,95195.75402,2.38
Vermont,2011,0.06,80718.39328,1.63
Virginia,2011,0.067,106197.6601,1.85
Washington,2011,0.089,112483.6494,1.89
West Virginia,2011,0.084,87100.0047,1.84
Wisconsin,2011,0.078,88779.5036,1.87
Wyoming,2011,0.066,131443.2751,1.98
Alabama,2011,0.1,84777.6035,1.84
Alaska,2011,0.079,152071.9972,2.28
Arizona,2011,0.098,86956.2731,2
Arkansas,2011,0.08,79613.3241,2
California,2011,0.122,112414.2872,1.9
Colorado,2011,0.089,99998.56462,1.85
Connecticut,2011,0.094,124513.271,1.71
Delaware,2011,0.079,142336.2222,1.9
District of Columbia,2011,0.1,318268.8936,1.64
Florida,2011,0.105,83442.37647,1.8
Georgia,2011,0.104,93685.28104,1.93
Hawaii,2011,0.067,106779.9864,2.11
Idaho,2011,0.084,76469.03544,2.15
Illinois,2011,0.095,108519.8376,1.84
Indiana,2011,0.089,94322.17796,1.95
Iowa,2011,0.058,90951.68144,1.97
Kansas,2011,0.067,93055.78704,2.09
Kentucky,2011,0.096,85028.90092,1.94
Louisiana,2011,0.077,112730.3475,1.91
Maine,2011,0.08,76971.62057,1.67
Maryland,2011,0.074,107440.5919,1.85
Massachusetts,2011,0.075,124773.6743,1.67
Michigan,2011,0.104,88922.69062,1.84
Minnesota,2011,0.068,99681.32724,1.95
Mississippi,2011,0.098,73117.9779,1.94
Missouri,2011,0.092,88318.37975,1.92
Montana,2011,0.069,83801.68101,1.96
Nebraska,2011,0.046,102658.0287,2.11
Nevada,2011,0.136,96276.67724,1.91
New Hampshire,2011,0.055,91776.41901,1.67
New Jersey,2011,0.094,111486.5859,1.88
New Mexico,2011,0.072,94763.66666,2
New York,2011,0.083,134000.0239,1.79
North Carolina,2011,0.103,95483.08067,1.86
North Dakota,2011,0.034,110099.0717,2.08
Ohio,2011,0.091,93228.92414,1.88
Oklahoma,2011,0.058,94458.31083,2.04
Oregon,2011,0.098,86969.94531,1.76
Pennsylvania,2011,0.077,100068.0718,1.8
Rhode Island,2011,0.111,90634.26808,1.6
South Carolina,2011,0.107,80707.98797,1.84
South Dakota,2011,0.049,96557.96573,2.25
