Year,Region and country of birth,Total Permanent Residents,Percentage,State,Population Count
2005,Total,1122373,100.0,Alabama,4200
2005,"China, People's Republic",69967,6.23,Alabama,328
2005,Dominican Republic,27504,2.45,Alabama,5
2005,India,84681,7.54,Alabama,431
2005,Iran,13887,1.24,Alabama,48
2005,Mexico,161445,14.38,Alabama,569
2005,Pakistan,14926,1.33,Alabama,84
2005,Philippines,60748,5.41,Alabama,178
2005,United Kingdom,19800,1.76,Alabama,166
2006,Total,1266264,100.0,Alabama,4278
2006,"China, People's Republic",87345,6.9,Alabama,301
2006,Dominican Republic,38069,3.01,Alabama,22
2006,India,61369,4.85,Alabama,280
2006,Iran,13947,1.1,Alabama,48
2006,Mexico,173753,13.72,Alabama,535
2006,Pakistan,17418,1.38,Alabama,76
2006,Philippines,74607,5.89,Alabama,325
2006,United Kingdom,17207,1.36,Alabama,103
2007,Total,1052415,100.0,Alabama,3393
2007,"China, People's Republic",76655,7.28,Alabama,259
2007,Dominican Republic,28024,2.66,Alabama,16
2007,India,65353,6.21,Alabama,256
2007,Iran,10460,0.99,Alabama,39
2007,Mexico,148640,14.12,Alabama,399
2007,Pakistan,13492,1.28,Alabama,79
2007,Philippines,72596,6.9,Alabama,213
2007,United Kingdom,14545,1.38,Alabama,64
2008,Total,1107126,100.0,Alabama,3877
2008,"China, People's Republic",80271,7.25,Alabama,300
2008,Dominican Republic,31879,2.88,Alabama,13
2008,India,63352,5.72,Alabama,299
2008,Iran,13852,1.25,Alabama,53
2008,Mexico,189989,17.16,Alabama,590
2008,Pakistan,19719,1.78,Alabama,105
2008,Philippines,54030,4.88,Alabama,183
2008,United Kingdom,14348,1.3,Alabama,83
2009,Total,1130818,100.0,Alabama,3891
2009,"China, People's Republic",64238,5.68,Alabama,240
2009,Dominican Republic,49414,4.37,Alabama,17
2009,India,57304,5.07,Alabama,291
2009,Iran,18553,1.64,Alabama,45
2009,Mexico,164920,14.58,Alabama,450
2009,Pakistan,21555,1.91,Alabama,69
2009,Philippines,60029,5.31,Alabama,175
2009,United Kingdom,15748,1.39,Alabama,76
2010,Total,1042625,100.0,Alabama,3740
2010,"China, People's Republic",70863,6.8,Alabama,315
2010,Dominican Republic,53870,5.17,Alabama,18
2010,India,69162,6.63,Alabama,361
2010,Iran,14182,1.36,Alabama,51
2010,Mexico,139120,13.34,Alabama,369
2010,Pakistan,18258,1.75,Alabama,65
2010,Philippines,58173,5.58,Alabama,181
2010,United Kingdom,12792,1.23,Alabama,81
2011,Total,1062040,100.0,Alabama,4063
2011,"China, People's Republic",87016,8.19,Alabama,317
2011,Dominican Republic,46109,4.34,Alabama,18
2011,India,69013,6.5,Alabama,317
2011,Iran,14822,1.4,Alabama,41
2011,Mexico,143446,13.51,Alabama,375
2011,Pakistan,15546,1.46,Alabama,53
2011,Philippines,57011,5.37,Alabama,242
2011,United Kingdom,11572,1.09,Alabama,74
2012,Total,1031631,100.0,Alabama,3873
2012,"China, People's Republic",81784,7.93,Alabama,299
2012,Dominican Republic,41566,4.03,Alabama,17
2012,India,66434,6.44,Alabama,330
2012,Iran,12916,1.25,Alabama,26
2012,Mexico,146406,14.19,Alabama,561
2012,Pakistan,14740,1.43,Alabama,45
2012,Philippines,57327,5.56,Alabama,145
2012,United Kingdom,12014,1.16,Alabama,39
2013,Total,990553,100.0,Alabama,3848
2013,"China, People's Republic",71798,7.25,Alabama,312
2013,Dominican Republic,41311,4.17,Alabama,23
2013,India,68458,6.91,Alabama,304
2013,Iran,12863,1.3,Alabama,52
2013,Mexico,135028,13.63,Alabama,478
2013,Pakistan,13251,1.34,Alabama,44
2013,Philippines,54446,5.5,Alabama,196
2013,United Kingdom,12984,1.31,Alabama,61
2014,Total,1016518,100.0,Alabama,3685
2014,"China, People's Republic",76089,7.49,Alabama,257
2014,Dominican Republic,44577,4.39,Alabama,17
2014,India,77908,7.66,Alabama,343
2014,Iran,11615,1.14,Alabama,40
2014,Mexico,134052,13.19,Alabama,481
2014,Pakistan,18612,1.83,Alabama,78
2014,Philippines,49996,4.92,Alabama,143
2014,United Kingdom,12225,1.2,Alabama,52
2015,Total,1051031,100.0,Alabama,3928
2015,"China, People's Republic",74558,7.09,Alabama,245
2015,Dominican Republic,50610,4.82,Alabama,31
2015,India,64116,6.1,Alabama,321
2015,Iran,13114,1.25,Alabama,45
2015,Mexico,158619,15.09,Alabama,640
2015,Pakistan,18057,1.72,Alabama,40
