Year,Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2012,"China, People's Republic",81784,299,49,676,169,22424,637,609,132,126,1755,1087,126,764,108,2324,537,247,300,299,349,82,1563,3064,952,603,134,510,52,116,719,147,2166,132,24956,1044,43,1039,253,672,1854,89,140,280,45,539,3203,273,69,1385,2017,64,467,27
2012,Dominican Republic,41566,17,91,33,5,171,33,694,61,54,3067,230,0,8,0,112,85,5,10,15,125,8,329,3502,107,41,22,29,5,12,52,175,6114,15,19920,253,8,130,13,16,1984,2133,1003,48,0,39,220,23,5,157,32,11,51,3
2012,India,66434,330,18,978,320,13951,483,1143,298,46,1937,2234,0,24,91,4477,710,292,306,298,228,48,1611,1966,1653,798,139,597,21,149,232,188,7623,90,4621,1476,36,1534,259,457,2317,0,109,334,22,573,5844,159,36,2473,2180,66,632,15
2012,Iran,12916,26,4,223,13,6591,105,62,0,40,360,311,0,8,25,268,51,23,42,54,40,7,451,231,123,56,14,69,0,30,138,17,188,24,387,121,6,106,89,103,153,0,18,28,6,94,1160,75,0,567,361,16,23,4
2012,Mexico,146406,561,75,8075,961,49595,3316,255,175,52,3505,2854,0,74,810,8079,1250,777,1298,324,473,16,407,254,1175,800,317,660,34,927,2524,38,833,2202,1910,2037,47,572,1318,1656,821,79,41,478,54,1031,37852,1334,7,792,2408,27,1142,100
2012,Pakistan,14740,45,4,91,30,1731,67,270,53,11,478,377,0,15,10,963,77,34,52,42,100,4,630,311,333,87,22,118,6,16,60,29,1038,19,3229,245,0,177,74,33,429,0,29,41,4,68,1877,73,7,989,208,28,93,9
2012,Philippines,57327,145,600,849,164,22484,350,327,86,97,2372,527,1152,4037,91,2377,345,115,207,165,250,57,1257,311,505,309,122,322,48,62,1869,68,2319,190,3231,597,38,529,173,407,555,11,53,240,55,346,2778,135,28,1315,1804,68,216,43
2012,United Kingdom,12014,39,13,170,43,2090,179,282,17,66,1193,352,0,32,26,410,175,37,67,51,54,34,225,409,264,109,33,83,18,14,105,57,434,34,1507,323,6,245,57,142,333,8,38,103,19,121,1070,126,22,283,381,22,80,10
2013,"China, People's Republic",71798,312,64,511,125,20134,499,618,201,207,1595,1208,75,560,101,2213,492,229,275,259,253,80,1483,2414,846,535,140,453,48,128,649,122,2084,106,20218,988,47,879,227,572,1652,58,114,227,42,479,3281,231,42,1348,1842,64,389,0
2013,Dominican Republic,41311,23,45,51,5,129,12,624,57,57,3392,213,0,0,5,103,67,15,19,19,141,11,342,3252,100,39,27,37,0,14,35,139,7013,10,18739,281,0,134,17,7,2227,2039,859,41,3,38,316,27,6,205,41,9,40,0
