,Country Name,Year,Fertility rate_country,GDP per capita_country,Gini index_country,Unemployment_country,Total Permanent Residents,Percentage,State,Population Count,Unemployeement Rate,per capita personal Income,Covid
0,China,2005,1.624,5334.646639381805,40.28181818181818,4.1,69967,6.23,Alabama,328,0.04447375230200696,29949,0
1,Dominican Republic,2005,2.605,10215.499371039197,50.0,5.65,27504,2.45,Alabama,5,0.04447375230200696,29949,0
2,India,2005,2.958,2936.560443,35.25714285714286,5.651428571428572,84681,7.54,Alabama,431,0.04447375230200696,29949,0
3,Iran,2005,1.775,14738.152238974135,43.6,11.52,13887,1.24,Alabama,48,0.04447375230200696,29949,0
4,Mexico,2005,2.495,12725.19759,50.1,3.57,161445,14.38,Alabama,569,0.04447375230200696,29949,0
5,Pakistan,2005,4.637,3475.5866138824695,31.3,7.05,14926,1.33,Alabama,84,0.04447375230200696,29949,0
6,Philippines,2005,3.486,4661.962612460991,47.2,4.05,60748,5.41,Alabama,178,0.04447375230200696,29949,0
7,United Kingdom,2005,1.76,42678.59813720475,35.5,5.35,19800,1.76,Alabama,166,0.04447375230200696,29949,0
8,China,2006,1.644,5979.781711825274,40.28181818181818,4.0,87345,6.9,Alabama,301,0.04004709516332151,31474,0
9,Dominican Republic,2006,2.533,11009.275069451707,52.0,5.16,38069,3.01,Alabama,22,0.04004709516332151,31474,0
10,India,2006,2.864,3221.697778,35.25714285714286,5.651428571428572,61369,4.85,Alabama,280,0.04004709516332151,31474,0
11,Iran,2006,1.771,15707.858517588395,44.8,10.77,13947,1.1,Alabama,48,0.04004709516332151,31474,0
12,Mexico,2006,2.456,13899.91986,48.9,3.63,173753,13.72,Alabama,535,0.04004709516332151,31474,0
13,Pakistan,2006,4.526,3715.387499172141,29.985714285714288,0.58,17418,1.38,Alabama,76,0.04004709516332151,31474,0
14,Philippines,2006,3.444,5005.5910154565945,44.6,3.43,74607,5.89,Alabama,325,0.04004709516332151,31474,0
15,United Kingdom,2006,1.82,43281.317978854226,35.9,5.26,17207,1.36,Alabama,103,0.04004709516332151,31474,0
16,China,2007,1.666,6795.174012379911,43.0,4.2,76655,7.28,Alabama,259,0.040542601873213964,32739,0
17,Dominican Republic,2007,2.51,11677.254130751631,48.9,4.76,28024,2.66,Alabama,16,0.040542601873213964,32739,0
18,India,2007,2.784,3510.388774,35.25714285714286,5.651428571428572,65353,6.21,Alabama,256,0.040542601873213964,32739,0
19,Iran,2007,1.768,17196.289611972294,40.989999999999995,10.63,10460,0.99,Alabama,39,0.040542601873213964,32739,0
20,Mexico,2007,2.421,14411.74519,48.144444444444446,3.87,148640,14.12,Alabama,399,0.040542601873213964,32739,0
21,Pakistan,2007,4.51,3915.4526829392566,29.7,0.4,13492,1.28,Alabama,79,0.040542601873213964,32739,0
22,Philippines,2007,3.404,5224.590998985874,44.6,3.72,72596,6.9,Alabama,213,0.040542601873213964,32739,0
23,United Kingdom,2007,1.86,44046.50346735549,34.4,5.62,14545,1.38,Alabama,64,0.040542601873213964,32739,0
24,China,2008,1.701,7412.87436349204,40.28181818181818,4.3,80271,7.25,Alabama,300,0.058719244577392936,33583,0
25,Dominican Republic,2008,2.533,11899.22764767209,48.1,5.47,31879,2.88,Alabama,13,0.058719244577392936,33583,0
26,India,2008,2.718,3636.060371,35.25714285714286,5.651428571428572,63352,5.72,Alabama,299,0.058719244577392936,33583,0
27,Iran,2008,1.767,17330.673031588718,40.989999999999995,12.11,13852,1.25,Alabama,53,0.058719244577392936,33583,0
28,Mexico,2008,2.391,15078.68781,49.9,5.36,189989,17.16,Alabama,590,0.058719244577392936,33583,0
29,Pakistan,2008,4.432,3970.97128086713,29.985714285714288,0.42,19719,1.78,Alabama,105,0.058719244577392936,33583,0
30,Philippines,2008,3.363,5236.9775713991685,46.3,3.86,54030,4.88,Alabama,183,0.058719244577392936,33583,0
31,United Kingdom,2008,1.91,43633.75338594211,35.4,7.54,14348,1.3,Alabama,83,0.058719244577392936,33583,0
32,China,2009,1.714,8069.354638377564,43.7,4.1,64238,5.68,Alabama,240,0.10085660770430017,32769,0
33,Dominican Republic,2009,2.556,11856.047420060064,48.9,5.21,49414,4.37,Alabama,17,0.10085660770430017,32769,0
34,India,2009,2.673,3892.530031,35.4,3.12,57304,5.07,Alabama,291,0.10085660770430017,32769,0
35,Iran,2009,1.766,17379.40321140144,42.1,13.68,18553,1.64,Alabama,45,0.10085660770430017,32769,0
36,Mexico,2009,2.364,14732.94074,48.144444444444446,5.3,164920,14.58,Alabama,450,0.10085660770430017,32769,0
37,Pakistan,2009,4.36,4018.9925829221256,29.985714285714288,0.54,21555,1.91,Alabama,69,0.10085660770430017,32769,0
38,Philippines,2009,3.264,5587.066137039951,44.6,3.61,60029,5.31,Alabama,175,0.10085660770430017,32769,0
39,United Kingdom,2009,1.89,41351.69288796164,35.1,7.79,15748,1.39,Alabama,76,0.10085660770430017,32769,0
40,China,2010,1.687,8884.588031226054,42.4,4.1,70863,6.8,Alabama,315,0.10376393955266043,33946,0
