State,Year,GDP,Birth Rate,GDP Per Capita,Unemployeement Rate
Alabama,2011,187605.8,1.84,85199.67147,0.095791224
Alabama,2012,189245.5,1.81,86846.7158,0.081666459
Alabama,2013,191369.8,1.79,88069.42997,0.073254549
Alabama,2014,189886.3,1.83,87723.68787,0.067383567
Alabama,2015,191335.2,1.83,88889.84213,0.061200756
Alabama,2016,194283.8,1.82,90123.47087,0.058829796
Alabama,2017,196974.9,1.82,89396.71314,0.045221099
Alabama,2018,200372.6,1.79,89459.33545,0.039277528
Alabama,2019,203432.7,1.81,89523.05939,0.031857429
Alabama,2020,199880.8,1.78,88075.44812,0.063956746
Alabama,2021,209979.3,1.77,92934.49685,0.033754813
Alaska,2011,55280.3,2.28,151683.4147,0.077473228
Alaska,2012,58283.6,2.19,159998.2797,0.07236652
Alaska,2013,55354.3,2.22,152223.4656,0.069931189
Alaska,2014,54188.2,2.19,148730.8125,0.067416902
Alaska,2015,54740.8,2.17,151080.4412,0.062787348
Alaska,2016,54246.6,2.14,149812.2052,0.065945206
Alaska,2017,54278.7,2.02,150547.1263,0.065074777
Alaska,2018,53327,1.97,150013.1512,0.060394731
Alaska,2019,53433.8,1.94,151287.5729,0.055939106
Alaska,2020,50705.2,1.89,146132.9534,0.083067488
Alaska,2021,50869.4,1.89,144030.7375,0.064249971
Arizona,2011,266101.5,2,87196.00321,0.094398644
Arizona,2012,271440,2,88856.91006,0.083437323
Arizona,2013,273481.9,1.97,89227.66226,0.077993591
Arizona,2014,276948.9,1.97,88810.77586,0.068072872
Arizona,2015,282577,1.92,88718.77898,0.060829009
Arizona,2016,291275.2,1.87,89514.24324,0.054808888
Arizona,2017,303606.1,1.79,93710.26229,0.049565925
Arizona,2018,314827.5,1.72,94663.5433,0.048104955
Arizona,2019,325395.3,1.67,94833.47314,0.048136357
Arizona,2020,327178,1.58,94280.85399,0.078240601
Arizona,2021,347656,1.64,98445.897,0.050655437
Arkansas,2011,107932.5,2,79505.86161,0.079007411
Arkansas,2012,108492.1,1.97,80348.05213,0.072654184
Arkansas,2013,110752.4,1.94,83161.46378,0.07042472
Arkansas,2014,111734.5,1.97,84144.20967,0.058925748
Arkansas,2015,112351,1.98,83881.07211,0.049543956
Arkansas,2016,112798.1,1.95,83925.22717,0.039884747
Arkansas,2017,113850.2,1.91,84457.8796,0.03729215
Arkansas,2018,115885.2,1.88,86232.62454,0.036576157
Arkansas,2019,117126.2,1.86,86464.42381,0.034967996
Arkansas,2020,117268.2,1.79,87058.92659,0.061913047
Arkansas,2021,123347.3,1.84,92054.59189,0.040603792
California,2011,2063827.5,1.9,112132.9778,0.118817636
California,2012,2113096.4,1.89,114289.71,0.105218169
California,2013,2179229,1.84,117361.715,0.090284682
California,2014,2256054.7,1.84,120792.5513,0.075615379
California,2015,2357452.9,1.79,125230.8652,0.062433048
California,2016,2427894.6,1.77,127690.467,0.055160447
California,2017,2538204,1.69,132311.1528,0.048373272
California,2018,2644061.2,1.63,137079.3844,0.042578711
California,2019,2729225.8,1.6,140572.5763,0.040935427
